Scale,SNR,CC,Coherence
0.0,-1.15,-0.0056,0.0132
0.5,-0.67,0.0098,0.0286
1.0,-0.79,0.0372,0.0746
1.5,-1.19,0.0447,0.0973
2.0,-1.51,0.0479,0.1034
2.5,-1.76,0.0448,0.1019
3.0,-1.95,0.0423,0.1007
3.5,-2.1,0.0406,0.0992
7.0,-2.79,0.0375,0.0882
